         1       113        96            -0.0
         2       113        96            -0.0
         2       133        81            -0.0
         1        42        78            -0.0
         2        42        78            -0.0
         2       107        89        -36742.7
         3       107        89       -799.9714
         2       117        57            -0.0
         1       136        64            -0.0
         2       136        64            -0.0
         2        44       113            -0.0
         2        97        64            -0.0
         2         6       130            -0.0
         1       117        57            -0.0
         2       102       115            -0.0
         2        29       113            -0.0
         3        29       113            -0.0
         1        15        80            -0.0
         3        14        77       -2846.102
         2        12       136            -0.0
         2        28       164            -0.0
         2        82        90            -0.0
         2        83        64            -0.0
         2        84        33            -0.0
         2       114        30       -8858.449
         2        10        83       -103.4946
         2       104        18            -0.0
         2        97        89       -31515.68
         3        97        89      -684.08246
         2        15        94            -0.0
         2        31        66            -0.0
         2        40        77            -0.0
         2        11        18            -0.0
         2         3        50            -0.0
