         1       113        96      -13740.475
         2       113        96      -15018.092
         2       133        81       -8900.537
         1        42        78       -34625.52
         2        42        78      -34922.863
         2       107        89       -24651.29
         3       107        89      -536.71405
         2       117        57            -0.0
         1       136        64            -0.0
         2       136        64            -0.0
         2        44       113            -0.0
         2        97        64            -0.0
         2         6       130            -0.0
         1       117        57            -0.0
         2       102       115       -33010.47
         2        29       113            -0.0
         3        29       113            -0.0
         1        15        80            -0.0
         3        14        77       -2846.102
         2        12       136      -1724.9103
         2        28       164            -0.0
         2        82        90            -0.0
         2        83        64            -0.0
         2        84        33      -12936.827
         2       114        30      -10220.551
         2        10        83       -103.4946
         2       104        18            -0.0
         2        97        89      -29084.578
         3        97        89      -631.31274
         2        15        94      -12936.827
         2        31        66      -53299.727
         2        40        77      -14489.246
         2        11        18            -0.0
         2         3        50            -0.0
