         1       113        96       -4508.046
         2       113        96      -4927.2134
         2       133        81      -14903.225
         1        42        78      -6646.8633
         2        42        78      -6703.9424
         2       107        89      -18443.098
         3       107        89      -401.54776
         2       117        57       -587.3319
         1       136        64      -2086.4924
         2       136        64      -2128.9468
         2        44       113      -10275.536
         2        97        64      -4391.0825
         2         6       130       -26546.37
         1       117        57       -9223.958
         2       102       115       -9862.175
         2        29       113      -30365.627
         3        29       113       -633.9379
         1        15        80       -8624.552
         3        14        77       -2846.102
         2        12       136       -4312.276
         2        28       164       -9314.516
         2        82        90            -0.0
         2        83        64      -4098.3438
         2        84        33      -1681.7875
         2       114        30      -214221.72
         2        10        83       -103.4946
         2       104        18            -0.0
         2        97        89      -23306.494
         3        97        89      -505.89307
         2        15        94      -43122.758
         2        31        66            -0.0
         2        40        77      -2781.4177
         2        11        18            -0.0
         2         3        50            -0.0
