         1       113        96      -59770.344
         2       113        96      -65327.914
         2       133        81       -9838.889
         1        42        78      -59260.137
         2        42        78      -59769.023
         2       107        89      -28857.188
         3       107        89      -628.28595
         2       117        57       -236.6146
         1       136        64      -10349.002
         2       136        64      -10559.576
         2        44       113      -7206.0186
         2        97        64       -5898.685
         2         6       130       -54140.62
         1       117        57      -7686.6313
         2       102       115      -159850.73
         2        29       113      -14092.839
         3        29       113      -294.21375
         1        15        80      -13368.055
         3        14        77       -2940.972
         2        12       136      -3342.0137
         2        28       164      -32083.332
         2        82        90       -16092.83
         2        83        64       -19904.29
         2        84        33      -28741.318
         2       114        30      -20879.574
         2        10        83       -106.9444
         2       104        18        -21342.1
         2        97        89       -44738.73
         3        97        89      -971.10333
         2        15        94      -35648.145
         2        31        66       -56413.19
         2        40        77      -24797.742
         2        11        18       -45130.55
         2         3        50      -36414.582
