         1       113        96       -69254.55
         2       113        96       -75693.98
         2       133        81       -81760.75
         1        42        78       -9274.693
         2        42        78       -9354.338
         2       107        89      -22528.434
         3       107        89      -490.49472
         2       117        57       -805.9643
         1       136        64      -18778.432
         2       136        64      -19160.521
         2        44       113      -23076.838
         2        97        64       -35128.66
         2         6       130      -107116.93
         1       117        57       -9223.958
         2       102       115      -228037.45
         2        29       113      -57364.734
         3        29       113      -1197.5936
         1        15        80      -12936.827
         3        14        77       -2846.102
         2        12       136      -6468.4136
         2        28       164       -38810.48
         2        82        90       -18852.38
         2        83        64       -38524.43
         2        84        33       -4269.153
         2       114        30      -205184.98
         2        10        83       -103.4946
         2       104        18      -17855.408
         2        97        89      -36517.164
         3        97        89       -792.6452
         2        15        94       -60371.86
         2        31        66      -47607.523
         2        40        77       -3881.048
         2        11        18       -5899.193
         2         3        50      -31048.385
